crossentropy,kl,score,klw,tfr,lr
85639.99510717392,7971.625791251659,0.03749537260469638,0.0,1.0,0.001
73256.17119884491,19490.467909276485,0.041330805222485945,0.001,1.0,0.001
64031.137930870056,64462.988265156746,0.04013643051871285,0.002,1.0,0.001
57208.75872349739,100890.31575495005,0.07489068627039647,0.003,1.0,0.001
51704.95480442047,110762.11819303036,0.0803613953435644,0.004,1.0,0.001
46036.173941612244,132567.55458045006,0.07744459244670565,0.005,1.0,0.001
40143.12081861496,162030.84276247025,0.06489777856992783,0.006,1.0,0.001
34351.92379403114,189889.30141592026,0.08691063844450393,0.007,1.0,0.001
28197.229580402374,216385.06224250793,0.09645396706735652,0.008,1.0,0.001
22508.69228053093,237961.52949810028,0.1412868059748038,0.009000000000000001,1.0,0.001
18584.756702423096,249381.3169746399,0.15556672773236419,0.01,0.99,0.001
15130.735800266266,258906.4435749054,0.22636264199205794,0.011,0.99,0.001
12362.508970737457,263018.39504241943,0.2391285508586154,0.012,0.99,0.001
10043.358852386475,261457.071062088,0.31503691791060096,0.013000000000000001,0.99,0.001
8632.814930200577,256892.9461669922,0.3438224537522674,0.014,0.99,0.001
7306.84595823288,250132.44588661194,0.3611845938575698,0.015,0.99,0.001
6401.834463357925,245409.43917655945,0.36601705272141627,0.016,0.99,0.001
5658.113544225693,235872.58330726624,0.42940526328375134,0.017,0.99,0.001
4859.553147315979,228092.5313205719,0.4223264833986517,0.018000000000000002,0.99,0.001
4566.352237939835,222547.33131980896,0.4319972306011474,0.019,0.99,0.001
4029.9739463329315,212542.02114486694,0.4928366817347827,0.02,0.98,0.001
3533.874032974243,203783.7919406891,0.5327696694256369,0.021,0.98,0.001
3552.192193508148,197634.17691230774,0.5000508762419382,0.022,0.98,0.001
3697.8777136802673,193112.71307754517,0.47783086615874387,0.023,0.98,0.001
3339.2071118354797,186591.03136444092,0.5385769794009436,0.024,0.98,0.001
3012.5343821048737,180852.27754211426,0.5755255198296255,0.025,0.98,0.001
3041.4620184898376,176495.99491882324,0.5755968741177943,0.026000000000000002,0.98,0.001
3018.655346393585,171878.30875778198,0.5642926238508678,0.027,0.98,0.001
2688.2937710285187,165397.11660575867,0.5488362976219954,0.028,0.98,0.001
2834.8576276302338,162651.61574935913,0.5685956142008111,0.029,0.98,0.001
2810.863034725189,158761.34864616394,0.599745123017912,0.03,0.97,0.001
2785.040336370468,155244.36831855774,0.5578044509255742,0.031,0.97,0.001
2743.378894805908,151195.53698158264,0.6264581263919778,0.032,0.97,0.001
2431.640741109848,148248.23960494995,0.6183011249830092,0.033,0.97,0.001
2590.599673271179,142998.4986076355,0.5750793251077146,0.034,0.97,0.001
2336.1470494270325,141136.24941825867,0.6469143285154303,0.035,0.97,0.001
2336.2934036254883,138067.47929000854,0.6676771215971822,0.036000000000000004,0.97,0.001
2462.4362874031067,136056.6185092926,0.6463290528993534,0.037,0.97,0.001
2524.649173259735,134822.0720386505,0.6422627461020294,0.038,0.97,0.001
2289.1029813289642,131867.3304080963,0.6430699872102801,0.039,0.97,0.001
2611.739763736725,130605.12522506714,0.6830126889573961,0.04,0.96,0.001
2551.3625741004944,127481.81872558594,0.7148689055976969,0.041,0.96,0.001
2244.0340752601624,126019.12208175659,0.6611370432871069,0.042,0.96,0.001
2257.8026123046875,124678.73356056213,0.6724329016901869,0.043000000000000003,0.96,0.001
2519.3095483779907,121773.81572532654,0.6945195809352402,0.044,0.96,0.001
2273.275650501251,120934.41089439392,0.732512194434152,0.045,0.96,0.001
2356.6934418678284,118992.85164833069,0.6164836745719925,0.046,0.96,0.001
2485.299753665924,117610.99961853027,0.6907885768143107,0.047,0.96,0.001
2255.5553784370422,115843.14880466461,0.7157437822286618,0.048,0.96,0.001
2095.9431200027466,114759.95643806458,0.7897801747716823,0.049,0.96,0.001
2805.6914501190186,113332.25781917572,0.7297577997336748,0.05,0.95,0.001
2829.0796344280243,112969.96167755127,0.7559487889315959,0.051000000000000004,0.95,0.001
2658.896640777588,111944.71391773224,0.7262953380616776,0.052000000000000005,0.95,0.001
2676.2864966392517,110071.26302909851,0.7026265837194736,0.053,0.95,0.001
2449.3597617149353,108462.1455335617,0.6809084874934463,0.054,0.95,0.001
2282.4134483337402,106728.74712371826,0.763658169573851,0.055,0.95,0.001
2347.165087223053,106163.59352207184,0.772316865089637,0.056,0.95,0.001
2937.3351130485535,104931.27736186981,0.809513062935916,0.057,0.95,0.001
2393.989308834076,104051.33649921417,0.8123197517980697,0.058,0.95,0.001
2706.079632282257,103649.18553829193,0.742116402484248,0.059000000000000004,0.95,0.001
2215.969132900238,101920.01290607452,0.7732732228875148,0.06,0.94,0.001
2412.6184940338135,101344.80088710785,0.7201707190044087,0.061,0.94,0.001
3275.481516122818,101330.76657867432,0.7477619140788663,0.062,0.94,0.001
2256.0376300811768,100224.39911556244,0.749932531754233,0.063,0.94,0.001
2911.9280457496643,99471.07001018524,0.7876085052886759,0.064,0.94,0.001
2959.174584388733,99158.1472492218,0.7889831818027367,0.065,0.94,0.001
2497.902542114258,97184.17345428467,0.7314397531565899,0.066,0.94,0.001
3038.2678804397583,96323.44023799896,0.8086782242786767,0.067,0.94,0.001
3044.861791610718,96755.77954864502,0.8163381932960128,0.068,0.94,0.001
2598.0776896476746,94987.38879299164,0.788544747025414,0.069,0.94,0.001
3527.7118906974792,95803.43478488922,0.7841417914305667,0.07,0.9299999999999999,0.001
2874.748034477234,94046.53470230103,0.751183956923745,0.07100000000000001,0.9299999999999999,0.001
3003.4726519584656,93285.429895401,0.8090546928397471,0.07200000000000001,0.9299999999999999,0.001
3021.851031780243,92439.6365365982,0.7897431943658756,0.073,0.9299999999999999,0.001
2754.4322566986084,92267.476811409,0.7642729494665959,0.074,0.9299999999999999,0.001
3100.626757621765,91983.51927947998,0.7537010216723731,0.075,0.9299999999999999,0.001
2986.084470272064,90949.47246932983,0.7182240021205295,0.076,0.9299999999999999,0.001
3198.47013092041,89808.48194026947,0.7387798533555645,0.077,0.9299999999999999,0.001
3244.0486521720886,90293.7816953659,0.7497335424398185,0.078,0.9299999999999999,0.001
2981.2269201278687,90096.23277187347,0.672439675655275,0.079,0.9299999999999999,0.001
3409.7207412719727,88369.68682670593,0.7607756812554721,0.08,0.92,0.001
3625.390060901642,87008.34836101532,0.7937020849916658,0.081,0.92,0.001
3222.6405243873596,87469.36325454712,0.8328870559779709,0.082,0.92,0.001
3487.225266933441,86534.53584194183,0.7728591607577512,0.083,0.92,0.001
3197.0885906219482,86142.9145936966,0.7252753177161637,0.084,0.92,0.001
3272.328353404999,86076.77999019623,0.7041328989262731,0.085,0.92,0.001
3397.803075313568,86244.82019615173,0.7255262988535688,0.08600000000000001,0.92,0.001
3406.0569219589233,85059.51610469818,0.7189563163992565,0.08700000000000001,0.92,0.001
3332.120936870575,84704.23836326599,0.6940446398213936,0.088,0.92,0.001
3366.3063893318176,84654.16880130768,0.7253443276405729,0.089,0.92,0.001
4089.017746925354,84005.44510555267,0.6556706869345527,0.09,0.91,0.001
4624.674576759338,83904.58430862427,0.6803049836970834,0.091,0.91,0.001
3650.804947376251,83590.72878932953,0.8202604569560872,0.092,0.91,0.001
3333.7644968032837,82245.13889980316,0.7800967926868865,0.093,0.91,0.001
3869.088004589081,82129.40641021729,0.7842213561847386,0.094,0.91,0.001
3389.8496866226196,81983.54264450073,0.7512322108436453,0.095,0.91,0.001
3829.997312068939,81383.95084762573,0.7238325762400709,0.096,0.91,0.001
3693.067331314087,81135.3796634674,0.788487435491222,0.097,0.91,0.001
3664.356153488159,80917.69108009338,0.8047230968473197,0.098,0.91,0.001
3793.061526298523,80937.11057281494,0.8118771577135087,0.099,0.91,0.001
